,4194900,4312000,4474116,5184160,5056990,5442058,5543886,5916580,6031080,,Cortlandt Street,3744574,,,,,,,,,,,,,,,,3,"Fares collected by stations - Subway Division, Fiscal Years Ended June 30, 1920 to 1929, Contract 3 Stations (Seventh Avenue Line)"
,1953110,1907536,1969406,1958971,1940504,1939845,1946893,2170870,2312954,,Rector Street,1784754,,,,,,,,,,,,,,,,3,"Fares collected by stations - Subway Division, Fiscal Years Ended June 30, 1920 to 1929, Contract 3 Stations (Seventh Avenue Line)"
,2948500,2763120,3370450,4034173,4001722,4064076,4026701,4224052,4056009,,South Ferry,2628060,,,,,,,,,,,,,,,,3,"Fares collected by stations - Subway Division, Fiscal Years Ended June 30, 1920 to 1929, Contract 3 Stations (Seventh Avenue Line)"
,3804700,3832046,3988600,4285496,4225500,4508100,4559800,4886511,4567158,,Clark Street,3565442,,,,,,,,,,,,,,,,3,"Fares collected by stations - Subway Division, Fiscal Years Ended June 30, 1920 to 1929, Contract 3 Stations (Seventh Avenue Line)"
,4190210,4390600,4624137,4828484,4938906,5061895,5186366,5565560,5596874,,Fulton Street,3389040,,,,,,,,,,,,,,,,3,"Fares collected by stations - Subway Division, Fiscal Years Ended June 30, 1920 to 1929, Contract 3 Stations (Seventh Avenue Line)"
,2600200,2606400,2795280,3079481,3019103,3103200,3052033,3375640,3509100,,Wall Street,2196386,,,,,,,,,,,,,,,,3,"Fares collected by stations - Subway Division, Fiscal Years Ended June 30, 1920 to 1929, Contract 3 Stations (Seventh Avenue Line)"
,2537700,2541900,3560624,3072481,8103200,8681730,8052033,9940901,11267804,,Clark St - Bklyn Heights,1765781,,,,,,,,,,,,,,,,3,"Fares collected by stations - Subway Division, Fiscal Years Ended June 30, 1920 to 1929, Contract 3 Stations (Seventh Avenue Line)"
,4953100,4919537,4979974,8137255,8137255,5523622,5563695,6003727,5886729,,Borough Hall (a),3435140,,,,,,,,,,,,,,,,3,"Fares collected by stations - Subway Division, Fiscal Years Ended June 30, 1920 to 1929, Contract 3 Stations (Seventh Avenue Line)"
,68352,51626,17400,11244,7174,2738,3045,4006,8790,,Miscellaneous ticket sales,71980,,,,,,,,,,,,,,,,3,"Fares collected by stations - Subway Division, Fiscal Years Ended June 30, 1920 to 1929, Contract 3 Stations (Seventh Avenue Line)"
,100077856,106818728,118340486,182511816,148273715,164296915,168285208,179897587,180825818,,LEXINGTON AVE. LINE NET TOTAL,88960086,,,,,,,,,,,,,,,,4,"Fares collected by stations - Fiscal Years Ended June 30, Subway Division - Lexington Ave Line and related branches, continued"
,7426464,5107151,2812811,5133561,4196858,3706956,4858519,5088537,5630660,,"Dr. Adjustment of Joint Traffic, 6th Ave. 'El'",7548585,,,,,,,,,,,,,,,,4,"Fares collected by stations - Fiscal Years Ended June 30, Subway Division - Lexington Ave Line and related branches, continued"
,107604090,112009876,188155897,187448476,146470873,162492171,164393827,184786124,186456476,,LEXINGTON AVENUE LINE—GROSS TOTAL,80608621,,,,,,,,,,,,,,,,4,"Fares collected by stations - Fiscal Years Ended June 30, Subway Division - Lexington Ave Line and related branches, continued"
,75176761,76775106,81444456,88108417,29938476,83146268,83477260,80052298,81926631,,MAIN LINE,69422417,,,,,,,,,,,,,,,,4,"Fares collected by stations - Fiscal Years Ended June 30, Subway Division - Lexington Ave Line and related branches, continued"
,18327500,19220685,21786942,23870982,28045154,4932884,5296588,5923222,5284672,,Grand Central (a),16582080,,,,,,,,,,,,,,,,4,"Fares collected by stations - Fiscal Years Ended June 30, Subway Division - Lexington Ave Line and related branches, continued"
,3679489,3783058,3966193,4318752,3610454,7817682,7682484,8526484,4176596,,51st Street,3491496,,,,,,,,,,,,,,,,4,"Fares collected by stations - Fiscal Years Ended June 30, Subway Division - Lexington Ave Line and related branches, continued"
,4285800,5650380,6006249,6554887,6864646,4015467,4455652,4811608,4977472,,59th Street,3955055,,,,,,,,,,,,,,,,4,"Fares collected by stations - Fiscal Years Ended June 30, Subway Division - Lexington Ave Line and related branches, continued"
,3385600,4490750,3587663,3687204,4272705,5364603,5284663,5819710,6031534,,68th St—Hunter College,3217034,,,,,,,,,,,,,,,,4,"Fares collected by stations - Fiscal Years Ended June 30, Subway Division - Lexington Ave Line and related branches, continued"
,4643293,4652636,4844248,5228088,5292905,11824647,12190434,13258019,13689698,,77th Street,3461016,,,,,,,,,,,,,,,,4,"Fares collected by stations - Fiscal Years Ended June 30, Subway Division - Lexington Ave Line and related branches, continued"
,10164200,10266701,10516093,11267680,11406820,5063622,4905323,5220825,5381082,,86th Street,9286047,,,,,,,,,,,,,,,,4,"Fares collected by stations - Fiscal Years Ended June 30, Subway Division - Lexington Ave Line and related branches, continued"
,4099700,4487268,4811428,5053104,6020252,6092622,5013747,6201951,6254180,,96th Street,4210863,,,,,,,,,,,,,,,,4,"Fares collected by stations - Fiscal Years Ended June 30, Subway Division - Lexington Ave Line and related branches, continued"
,4403100,5593887,5758389,6009105,5504687,2618575,5556785,5698350,6696789,,103d Street,4013856,,,,,,,,,,,,,,,,4,"Fares collected by stations - Fiscal Years Ended June 30, Subway Division - Lexington Ave Line and related branches, continued"
,5221800,6002635,5211000,6516942,4582698,6758723,6652594,6943084,6969110,,110th Street,4944365,,,,,,,,,,,,,,,,4,"Fares collected by stations - Fiscal Years Ended June 30, Subway Division - Lexington Ave Line and related branches, continued"
,5824100,6035649,6216079,6404847,6502363,9661464,10302066,10721517,10780107,,116th Street,5540769,,,,,,,,,,,,,,,,4,"Fares collected by stations - Fiscal Years Ended June 30, Subway Division - Lexington Ave Line and related branches, continued"
,9162200,8988347,9210143,9926100,24906818,40825118,48621822,48128100,13892460,,125th Street,7015969,,,,,,,,,,,,,,,,4,"Fares collected by stations - Fiscal Years Ended June 30, Subway Division - Lexington Ave Line and related branches, continued"
,15480008,17474961,22485265,29658648,1544294,1725511,1730485,1724203,1704266,,JEROME AVENUE BRANCH,13222561,,,,,,,,,,,,,,,,4,"Fares collected by stations - Fiscal Years Ended June 30, Subway Division - Lexington Ave Line and related branches, continued"
,1006280,1072799,1262500,1440829,1084634,1116845,1170948,1213009,1260240,,138th St—Mott Haven,896578,,,,,,,,,,,,,,,,4,"Fares collected by stations - Fiscal Years Ended June 30, Subway Division - Lexington Ave Line and related branches, continued"
,885900,841452,907171,1055909,1782939,1894395,2371225,2743984,2395516,,149th Street,786041,,,,,,,,,,,,,,,,4,"Fares collected by stations - Fiscal Years Ended June 30, Subway Division - Lexington Ave Line and related branches, continued"
,769660,852700,1395000,1901324,3325484,5480484,6468110,7367094,7940078,,161st Street,707742,,,,,,,,,,,,,,,,4,"Fares collected by stations - Fiscal Years Ended June 30, Subway Division - Lexington Ave Line and related branches, continued"
,2169100,3179500,2794163,3779991,3880861,4157221,4398652,4964073,6123143,,167th Street,1446500,,,,,,,,,,,,,,,,4,"Fares collected by stations - Fiscal Years Ended June 30, Subway Division - Lexington Ave Line and related branches, continued"
,631160,821400,1244043,1242733,1929968,2600435,3389552,4226209,4780753,,170th Street,470630,,,,,,,,,,,,,,,,4,"Fares collected by stations - Fiscal Years Ended June 30, Subway Division - Lexington Ave Line and related branches, continued"
,613340,735656,987713,1474060,1572382,3163676,3551297,4044256,4235496,,Mt. Eden Avenue,496647,,,,,,,,,,,,,,,,4,"Fares collected by stations - Fiscal Years Ended June 30, Subway Division - Lexington Ave Line and related branches, continued"
,1225000,1346600,1633138,2002129,6345818,6072877,6421823,6462964,6137826,,Burnside Avenue,1075802,,,,,,,,,,,,,,,,4,"Fares collected by stations - Fiscal Years Ended June 30, Subway Division - Lexington Ave Line and related branches, continued"
,1957660,2332240,3214101,4222937,2755348,2935128,3070755,3431380,3623637,,New York University,1576138,,,,,,,,,,,,,,,,4,"Fares collected by stations - Fiscal Years Ended June 30, Subway Division - Lexington Ave Line and related branches, continued"
,1338400,1674500,2069124,2464376,4333349,4674157,4783440,4688884,4622360,,183d Street,1382102,,,,,,,,,,,,,,,,4,"Fares collected by stations - Fiscal Years Ended June 30, Subway Division - Lexington Ave Line and related branches, continued"
,2405000,2751200,3834873,3303103,2616607,1900032,8627623,4088880,4304828,,Fordham Road,1534700,,,,,,,,,,,,,,,,4,"Fares collected by stations - Fiscal Years Ended June 30, Subway Division - Lexington Ave Line and related branches, continued"
,1229400,1711842,2512861,2303103,1043021,1408668,1510471,1723859,1834114,,Kingsbridge Road,1068214,,,,,,,,,,,,,,,,4,"Fares collected by stations - Fiscal Years Ended June 30, Subway Division - Lexington Ave Line and related branches, continued"
,473200,502683,552832,723695,798988,1193027,1479780,1624453,2211621,,Bedford Park Blvd,395482,,,,,,,,,,,,,,,,4,"Fares collected by stations - Fiscal Years Ended June 30, Subway Division - Lexington Ave Line and related branches, continued"
,209881,220905,284032,473267,652025,989110,1248069,1486184,1708203,,Mosholu Parkway,171558,,,,,,,,,,,,,,,,4,"Fares collected by stations - Fiscal Years Ended June 30, Subway Division - Lexington Ave Line and related branches, continued"
,311464,431177,428380,462841,,24618467,86419881,20437899,22605348,,Woodlawn,220327,,,,,,,,,,,,,,,,4,"Fares collected by stations - Fiscal Years Ended June 30, Subway Division - Lexington Ave Line and related branches, continued"
,16883730,17760116,18167876,19764804,21864061,2043649,1920019,4006882,4399572,,PELHAM BAY FARE BRANCH,13787024,,,,,,,,,,,,,,,,4,"Fares collected by stations - Fiscal Years Ended June 30, Subway Division - Lexington Ave Line and related branches, continued"
,2199240,2111060,1953618,3026448,2041539,4442631,4281730,4413624,4399572,,138th Street—3d Avenue,1898680,,,,,,,,,,,,,,,,4,"Fares collected by stations - Fiscal Years Ended June 30, Subway Division - Lexington Ave Line and related branches, continued"
,4128340,4275340,4141369,3787037,4282341,2761827,2936182,3232481,3410971,,Brook Avenue,8924480,,,,,,,,,,,,,,,,4,"Fares collected by stations - Fiscal Years Ended June 30, Subway Division - Lexington Ave Line and related branches, continued"
,1925060,3035060,2043562,2210308,3224945,2221467,2143071,2332481,805146,,Cypress Avenue,1704150,,,,,,,,,,,,,,,,4,"Fares collected by stations - Fiscal Years Ended June 30, Subway Division - Lexington Ave Line and related branches, continued"
,442947,470558,571473,,2265741,2533727,2631518,2659821,2724297,,143d Street,892605,,,,,,,,,,,,,,,,4,"Fares collected by stations - Fiscal Years Ended June 30, Subway Division - Lexington Ave Line and related branches, continued"
,1900800,1965800,2013800,2143044,2189603,2336240,2393145,2428731,2556381,,149th Street,1904130,,,,,,,,,,,,,,,,4,"Fares collected by stations - Fiscal Years Ended June 30, Subway Division - Lexington Ave Line and related branches, continued"
,1656830,1630230,1799883,2043130,3005492,3005666,3007644,3248889,3376558,,Longwood Avenue,1608700,,,,,,,,,,,,,,,,4,"Fares collected by stations - Fiscal Years Ended June 30, Subway Division - Lexington Ave Line and related branches, continued"
,2350500,2187582,2254918,,141115,239300,305410,283723,474390,,Hunts Point Road,2311000,,,,,,,,,,,,,,,,4,"Fares collected by stations - Fiscal Years Ended June 30, Subway Division - Lexington Ave Line and related branches, continued"
,73175,93005,92595,102730,560645,923839,1747943,2031258,2031258,,Whitlock Ave. (from 6/30/20),8175,,,,,,,,,,,,,,,,4,"Fares collected by stations - Fiscal Years Ended June 30, Subway Division - Lexington Ave Line and related branches, continued"
,134000,137900,151009,270596,400983,140120,336182,787988,1848560,,Elder Ave. (from 6/30/20),13020,,,,,,,,,,,,,,,,4,"Fares collected by stations - Fiscal Years Ended June 30, Subway Division - Lexington Ave Line and related branches, continued"
,57146,68900,63889,44640,474631,635702,813483,1002440,1164214,,Sound View Ave. (from 6/30/20),4064,,,,,,,,,,,,,,,,4,"Fares collected by stations - Fiscal Years Ended June 30, Subway Division - Lexington Ave Line and related branches, continued"
,194480,235940,312160,388284,329895,372801,571948,1152080,,,St. Lawrence Ave. (from 6/30/20),14600,,,,,,,,,,,,,,,,4,"Fares collected by stations - Fiscal Years Ended June 30, Subway Division - Lexington Ave Line and related branches, continued"
,284290,187960,106066,252214,734553,929054,1087815,1324705,1588897,,East 177th St. (from 6/30/20),35310,,,,,,,,,,,,,,,,4,"Fares collected by stations - Fiscal Years Ended June 30, Subway Division - Lexington Ave Line and related branches, continued"
,,203300,205800,312602,370725,470546,615616,888300,,,Castle Hill Ave. (from 10/24/80),,,,,,,,,,,,,,,,,4,"Fares collected by stations - Fiscal Years Ended June 30, Subway Division - Lexington Ave Line and related branches, continued"
,,286100,662700,661058,220518,367056,353120,334122,1858983,,Zerega Ave. (from 10/24/80),,,,,,,,,,,,,,,,,4,"Fares collected by stations - Fiscal Years Ended June 30, Subway Division - Lexington Ave Line and related branches, continued"
,,61042,99880,131058,168556,220660,253120,317780,406888,,Westchester Sq. (from 10/24/80),,,,,,,,,,,,,,,,,4,"Fares collected by stations - Fiscal Years Ended June 30, Subway Division - Lexington Ave Line and related branches, continued"
,,75300,163100,208900,408247,693047,875149,1175941,1286564,,Middletown Rd. (from 12/13/80),,,,,,,,,,,,,,,,,4,"Fares collected by stations - Fiscal Years Ended June 30, Subway Division - Lexington Ave Line and related branches, continued"
,,277800,696600,770071,1582283,1102027,1129024,1175941,,,Buhre Ave. (from 12/13/80),,,,,,,,,,,,,,,,,4,"Fares collected by stations - Fiscal Years Ended June 30, Subway Division - Lexington Ave Line and related branches, continued"
,,,23703,17630,13312,7515,7094,8381,12290,,Pelham Bay Pk. (from 12/13/80),,,,,,,,,,,,,,,,,4,"Fares collected by stations - Fiscal Years Ended June 30, Subway Division - Lexington Ave Line and related branches, continued"
,42401,,,,,,,,13800,,Miscellaneous ticket sales,96519,,,,,,,,,,,,,,,,4,"Fares collected by stations - Fiscal Years Ended June 30, Subway Division - Lexington Ave Line and related branches, continued"
,8522180,8868040,7053044,7669437,8119902,8740767,9390487,11409708,14876316,,WHITE PLAINS ROAD LINE—NET TOTAL,6114741,,,,,,,,,,,,,,,,4,"Fares collected by stations - Fiscal Years Ended June 30, White Plains Road Line and Eastern Parkway Line, Subway Division"
,1244155,1272043,1452092,1581730,2250690,3184875,3341401,,17148647,,"Dr. Adjustment of Joint Traffic, 3d Ave. 'El'",850559,,,,,,,,,,,,,,,,4,"Fares collected by stations - Fiscal Years Ended June 30, White Plains Road Line and Eastern Parkway Line, Subway Division"
,7372979,8110192,6021771,8228008,2785576,2994491,3300814,3867076,4065654,,WHITE PLAINS RD. LINE—GROSS TOTAL,6114741,,,,,,,,,,,,,,,,4,"Fares collected by stations - Fiscal Years Ended June 30, White Plains Road Line and Eastern Parkway Line, Subway Division"
,2595200,2687450,3201771,8228008,,254130,318850,338622,438623,,180th St—Morris Pk. Ave.,2231700,,,,,,,,,,,,,,,,4,"Fares collected by stations - Fiscal Years Ended June 30, White Plains Road Line and Eastern Parkway Line, Subway Division"
,243660,240440,213090,230855,228120,254130,,271010,775560,,Bronx Park,213600,,,,,,,,,,,,,,,,4,"Fares collected by stations - Fiscal Years Ended June 30, White Plains Road Line and Eastern Parkway Line, Subway Division"
,68645,83420,148260,252190,390641,669580,1057895,1655262,2301846,,Pelham Parkway,56980,,,,,,,,,,,,,,,,4,"Fares collected by stations - Fiscal Years Ended June 30, White Plains Road Line and Eastern Parkway Line, Subway Division"
,229500,291620,389060,447084,555661,648357,,1004614,2393234,,Allerton Avenue,182485,,,,,,,,,,,,,,,,4,"Fares collected by stations - Fiscal Years Ended June 30, White Plains Road Line and Eastern Parkway Line, Subway Division"
,329810,360060,397655,447084,555661,648357,813524,860188,966808,,Burke Avenue,278920,,,,,,,,,,,,,,,,4,"Fares collected by stations - Fiscal Years Ended June 30, White Plains Road Line and Eastern Parkway Line, Subway Division"
,474200,544280,608400,700349,857803,947143,1041879,1133853,1179382,,Gun Hill Road,411960,,,,,,,,,,,,,,,,4,"Fares collected by stations - Fiscal Years Ended June 30, White Plains Road Line and Eastern Parkway Line, Subway Division"
,698600,732102,752679,843499,857803,856379,1000049,1134853,1248498,,E. 219th Street,563820,,,,,,,,,,,,,,,,4,"Fares collected by stations - Fiscal Years Ended June 30, White Plains Road Line and Eastern Parkway Line, Subway Division"
,537940,502880,616804,704737,626491,739021,857318,1010721,1215458,,E. 225th Street,480960,,,,,,,,,,,,,,,,4,"Fares collected by stations - Fiscal Years Ended June 30, White Plains Road Line and Eastern Parkway Line, Subway Division"
,706200,608200,704870,809004,626450,848318,949214,,,,E. 233d Street,638640,,,,,,,,,,,,,,,,4,"Fares collected by stations - Fiscal Years Ended June 30, White Plains Road Line and Eastern Parkway Line, Subway Division"
,858600,270100,328867,437669,,,,2446814,2592148,,E. 238th Street,1440700,,,,,,,,,,,,,,,,4,"Fares collected by stations - Fiscal Years Ended June 30, White Plains Road Line and Eastern Parkway Line, Subway Division"
,966400,1075800,1999848,2011265,,,107,,889,,E. 241st Street (from 12/13/80),984,,,,,,,,,,,,,,,,4,"Fares collected by stations - Fiscal Years Ended June 30, White Plains Road Line and Eastern Parkway Line, Subway Division"
,,,765,,,,,,,,Miscellaneous ticket sales,,,,,,,,,,,,,,,,,4,"Fares collected by stations - Fiscal Years Ended June 30, White Plains Road Line and Eastern Parkway Line, Subway Division"
,24856428,29909851,36492610,39620188,41874144,42848999,56117862,84844877,87827687,,EASTERN PARKWAY LINE—NET TOTAL,,,,,,,,,,,,,,,,,4,"Fares collected by stations - Fiscal Years Ended June 30, White Plains Road Line and Eastern Parkway Line, Subway Division"
,12461200,14869521,17890700,19902495,,2082104,2128325,2300076,2308120,,MAIN LINE,,,,,,,,,,,,,,,,,4,"Fares collected by stations - Fiscal Years Ended June 30, White Plains Road Line and Eastern Parkway Line, Subway Division"
,1386220,1918971,1940606,1947990,1927964,2082104,2128325,2300076,2308120,,Prospect Pk. Plaza (from 10/3/20),,,,,,,,,,,,,,,,,4,"Fares collected by stations - Fiscal Years Ended June 30, White Plains Road Line and Eastern Parkway Line, Subway Division"
,1676700,2394900,2483277,2627868,2547976,1479919,1601243,1789853,1809350,,Prospect Pk. Plaza (from 10/3/20),,,,,,,,,,,,,,,,,4,"Fares collected by stations - Fiscal Years Ended June 30, White Plains Road Line and Eastern Parkway Line, Subway Division"
,,,,,4433599,2919810,3265083,3823817,4281877,,Eastern Parkway (from 10/3/80),,,,,,,,,,,,,,,,,4,"Fares collected by stations - Fiscal Years Ended June 30, White Plains Road Line and Eastern Parkway Line, Subway Division"
,,,,,1888424,,,,,,Franklin Ave. (from 8/13/80),,,,,,,,,,,,,,,,,4,"Fares collected by stations - Fiscal Years Ended June 30, White Plains Road Line and Eastern Parkway Line, Subway Division"
,1399900,1820400,2119085,3376798,4440892,2688438,2665567,2931586,3011954,,Nostrand Ave. (from 8/23/80),,,,,,,,,,,,,,,,,4,"Fares collected by stations - Fiscal Years Ended June 30, White Plains Road Line and Eastern Parkway Line, Subway Division"
,,,3544077,4131112,4707610,6077103,7149464,,,,Kingston Ave. (from 8/23/80),,,,,,,,,,,,,,,,,4,"Fares collected by stations - Fiscal Years Ended June 30, White Plains Road Line and Eastern Parkway Line, Subway Division"
,3888000,3240300,,,,,17849711,20821827,21010106,,Utica Ave. (from 8/23/80),,,,,,,,,,,,,,,,,4,"Fares collected by stations - Fiscal Years Ended June 30, White Plains Road Line and Eastern Parkway Line, Subway Division"
,4878570,5049559,5488000,,3005622,3334503,3587770,4228675,4549180,,LIVONIA AVENUE BRANCH,,,,,,,,,,,,,,,,,4,"Fares collected by stations - Fiscal Years Ended June 30, White Plains Road Line and Eastern Parkway Line, Subway Division"
,,,2094307,2435458,3005622,3334503,3587770,4228675,4549180,,Sutter Avenue (from 11/22/80),,,,,,,,,,,,,,,,,4,"Fares collected by stations - Fiscal Years Ended June 30, White Plains Road Line and Eastern Parkway Line, Subway Division"
,721910,1333990,1649684,2233031,3030321,3373668,3575041,3830440,4107038,,Saratoga Ave. (from 11/22/80),,,,,,,,,,,,,,,,,4,"Fares collected by stations - Fiscal Years Ended June 30, White Plains Road Line and Eastern Parkway Line, Subway Division"
,1222500,1434380,1637849,1818031,2030321,3810901,2618746,2905849,2913841,,Rockaway Ave. (from 11/22/80),,,,,,,,,,,,,,,,,4,"Fares collected by stations - Fiscal Years Ended June 30, White Plains Road Line and Eastern Parkway Line, Subway Division"
,683900,1503800,1623768,1797328,2102691,2500103,2810439,2980903,2979904,,Junius Street (from 12/23/80),,,,,,,,,,,,,,,,,4,"Fares collected by stations - Fiscal Years Ended June 30, White Plains Road Line and Eastern Parkway Line, Subway Division"
,682300,1618610,2316154,3151558,,476263,1263581,1410312,1667968,,Pennsylvania Ave. (from 12/23/80),,,,,,,,,,,,,,,,,4,"Fares collected by stations - Fiscal Years Ended June 30, White Plains Road Line and Eastern Parkway Line, Subway Division"
,,,,,832160,1531297,1685919,,2026301,,Van Sicklen Ave. (a),,,,,,,,,,,,,,,,,4,"Fares collected by stations - Fiscal Years Ended June 30, White Plains Road Line and Eastern Parkway Line, Subway Division"
,,,,,,12016067,13382895,,,,New Lots Ave. (a),,,,,,,,,,,,,,,,,4,"Fares collected by stations - Fiscal Years Ended June 30, White Plains Road Line and Eastern Parkway Line, Subway Division"
,7303010,7467330,7510870,2517828,,712230,738372,823577,902157,,NOSTRAND AVENUE BR.,,,,,,,,,,,,,,,,,4,"Fares collected by stations - Fiscal Years Ended June 30, White Plains Road Line and Eastern Parkway Line, Subway Division"
,714600,717300,604819,753609,817500,935198,1071879,,1318006,,President St. (from 8/25/80),,,,,,,,,,,,,,,,,4,"Fares collected by stations - Fiscal Years Ended June 30, White Plains Road Line and Eastern Parkway Line, Subway Division"
,985600,,,,,1803163,1919677,,,,Sterling Street (from 8/25/80),,,,,,,,,,,,,,,,,4,"Fares collected by stations - Fiscal Years Ended June 30, White Plains Road Line and Eastern Parkway Line, Subway Division"
,983500,,1583638,1762805,1809220,2216172,2439566,2854870,3180634,,Winthrop Street (from 8/25/80),,,,,,,,,,,,,,,,,4,"Fares collected by stations - Fiscal Years Ended June 30, White Plains Road Line and Eastern Parkway Line, Subway Division"
,,1554380,1050994,1162271,1298388,1513081,1684588,1885027,2006671,,Church Ave. (from 8/25/80),,,,,,,,,,,,,,,,,4,"Fares collected by stations - Fiscal Years Ended June 30, White Plains Road Line and Eastern Parkway Line, Subway Division"
,1098500,1087009,,,,1003164,1476928,1686932,1800331,,Beverly Road (from 8/25/80),,,,,,,,,,,,,,,,,4,"Fares collected by stations - Fiscal Years Ended June 30, White Plains Road Line and Eastern Parkway Line, Subway Division"
,,,1854033,2138214,2583842,3340360,3839247,4513642,5187571,,Newkirk Ave. (from 8/25/80),,,,,,,,,,,,,,,,,4,"Fares collected by stations - Fiscal Years Ended June 30, White Plains Road Line and Eastern Parkway Line, Subway Division"
,1840000,1807000,,,123,1641,2774,,2468,,Flatbush Ave. (from 8/25/80),,,,,,,,,,,,,,,,,4,"Fares collected by stations - Fiscal Years Ended June 30, White Plains Road Line and Eastern Parkway Line, Subway Division"
,10898,12161,4868,,,,,,,,Miscellaneous ticket sales,,,,,,,,,,,,,,,,,4,"Fares collected by stations - Fiscal Years Ended June 30, White Plains Road Line and Eastern Parkway Line, Subway Division"
,21787216,22780256,24879218,23954356,25895241,27909920,32239278,40418194,48863818,,QUEENSBORO SUBWAY - NET TOTAL,18900041,,,,,,,,,,,,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Subway Division Concluded (Contract 3 Stations)"
,7458544,7104840,8341842,8055905,8848907,9121838,10463751,10700565,10358069,,"DR. ADJUSTMENT OF JOINT TRAFFIC, 2D AVE. EL",7237280,,,,,,,,,,,,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Subway Division Concluded (Contract 3 Stations)"
,29246360,29858696,33081860,32011351,34211848,37031768,42505089,51117759,59221882,,QUEENSBORO SUBWAY - GROSS TOTAL,26137550,,,,,,,,,,,,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Subway Division Concluded (Contract 3 Stations)"
,10400229,10686261,16247478,12453258,11928222,11457436,14686393,16043425,17822950,,MAIN LINE,9527870,,,,,,,,,,,,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Subway Division Concluded (Contract 3 Stations)"
,,,,,,676502,2721807,3644870,3697701,,Fifth Avenue (from 8/22/86),,,,,,,,,,,,,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Subway Division Concluded (Contract 3 Stations)"
,426848,899581,863955,247746,836644,227430,800564,420707,651224,,Central (Lexington Avenue) (a),413920,,,,,,,,,,,,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Subway Division Concluded (Contract 3 Stations)"
,5286100,5382300,5881140,6233085,5447212,5296537,5334047,5901891,6287039,,Jackson Avenue,4393000,,,,,,,,,,,,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Subway Division Concluded (Contract 3 Stations)"
,690780,662380,913665,1008899,893460,920514,963154,1072269,1241822,,Hunter's Point Avenue,619210,,,,,,,,,,,,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Subway Division Concluded (Contract 3 Stations)"
,1399400,1486700,1697931,1863292,2036984,2099687,2128678,2281869,2418124,,11th Street - Courthouse Square,1246740,,,,,,,,,,,,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Subway Division Concluded (Contract 3 Stations)"
,2597700,2765400,3370755,3000211,2923890,2116997,3192108,3512863,3680930,,Queensboro Plaza,2585000,,,,,,,,,,,,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Subway Division Concluded (Contract 3 Stations)"
,8749500,8939100,8447890,7889992,7697880,8981969,11467466,13662824,16293776,,ASTORIA BRANCH,8254040,,,,,,,,,,,,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Subway Division Concluded (Contract 3 Stations)"
,719800,800200,801032,679987,616468,627923,694973,801548,854169,,Beebe Avenue,291200,,,,,,,,,,,,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Subway Division Concluded (Contract 3 Stations)"
,1068200,928300,941076,815374,855888,1035359,1156444,1301075,1567141,,Washington Avenue,908140,,,,,,,,,,,,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Subway Division Concluded (Contract 3 Stations)"
,1993800,1859500,1886944,1767393,1982905,4087918,2875407,3503174,4251900,,Broadway,1953800,,,,,,,,,,,,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Subway Division Concluded (Contract 3 Stations)"
,2024600,1990600,1998898,1729367,1831622,1985711,2381412,2897891,3256605,,Grand Avenue,1985800,,,,,,,,,,,,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Subway Division Concluded (Contract 3 Stations)"
,1700300,1634000,1463529,1309894,1487552,1878089,1826880,2210997,2451582,,Hoyt Avenue,1648200,,,,,,,,,,,,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Subway Division Concluded (Contract 3 Stations)"
,1243100,1126500,1356341,1696829,2893651,2600969,3033840,3918129,3972370,,Ditmars Avenue,996900,,,,,,,,,,,,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1920 to 1929 - Subway Division Concluded (Contract 3 Stations)"
