Line Type,Number of Fare Passengers Carried During Fiscal Year 1939,Increase or (D) Decrease in Traffic During 1939 - Number of Passengers,Increase or (D) Decrease in Traffic During 1939 - Per Cent,Month,Year,Station,Fiscal Year 1939,Fiscal Year 1938,Increase or (D) Decrease Number,Increase or (D) Decrease Per Cent,STATIONS,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,Line,Borough,LINE,BOROUGH,_page,_page_desc
,,,,,,,,,,,East 241st Street,2902836,3064887,3187041,3381880,3206821,3981907,2931289,2783727,3947881,3194784,,,,,4,"Interborough Rapid Transit Company - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Subway Division - White Plains Road Line, Eastern Parkway Line, and Livonia Avenue Branch"
,,,,,,,,,,,Miscellaneous ticket sales,1880,,,,,,,,,,,,,,4,"Interborough Rapid Transit Company - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Subway Division - White Plains Road Line, Eastern Parkway Line, and Livonia Avenue Branch"
,,,,,,,,,,,EASTERN PARKWAY LINE,69878876,70848088,67817707,81870488,88700884,87410878,89804810,89088888,88783904,88118888,,,,,4,"Interborough Rapid Transit Company - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Subway Division - White Plains Road Line, Eastern Parkway Line, and Livonia Avenue Branch"
,,,,,,,,,,,MAIN LINE,88222001,89903091,89147980,87421498,87449800,87086827,84828884,87108168,88089880,88808888,,,,,4,"Interborough Rapid Transit Company - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Subway Division - White Plains Road Line, Eastern Parkway Line, and Livonia Avenue Branch"
,,,,,,,,,,,Bergen Street,3871460,3880483,3799948,3808978,3808978,,,,,2802808,,,,,4,"Interborough Rapid Transit Company - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Subway Division - White Plains Road Line, Eastern Parkway Line, and Livonia Avenue Branch"
,,,,,,,,,,,Grand Army Plaza (Prosp. Park Plaza),8011001,3761102,3838732,3268488,2787887,2888498,2888418,2883118,,3080078,,,,,4,"Interborough Rapid Transit Company - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Subway Division - White Plains Road Line, Eastern Parkway Line, and Livonia Avenue Branch"
,,,,,,,,,,,Eastern Parkway (Brooklyn Museum),1927919,1999788,1939778,1880248,1929020,2004884,2104437,2080821,1972808,4882887,,,,,4,"Interborough Rapid Transit Company - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Subway Division - White Plains Road Line, Eastern Parkway Line, and Livonia Avenue Branch"
,,,,,,,,,,,Franklin Avenue,3781808,3988781,3881888,3881888,,2880988,3840888,,,4832887,,,,,4,"Interborough Rapid Transit Company - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Subway Division - White Plains Road Line, Eastern Parkway Line, and Livonia Avenue Branch"
,,,,,,,,,,,Nostrand Avenue,3870494,2838704,2844288,2178214,3208822,2281128,2340818,2028807,1921436,1900387,,,,,4,"Interborough Rapid Transit Company - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Subway Division - White Plains Road Line, Eastern Parkway Line, and Livonia Avenue Branch"
,,,,,,,,,,,Kingston Avenue,1180409,1128788,2048980,1942128,1003707,3070722,1116998,1186880,,,,,,,4,"Interborough Rapid Transit Company - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Subway Division - White Plains Road Line, Eastern Parkway Line, and Livonia Avenue Branch"
,,,,,,,,,,,Utica Avenue,8888889,8984873,8208949,7788946,,,,,,,,,,,4,"Interborough Rapid Transit Company - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Subway Division - White Plains Road Line, Eastern Parkway Line, and Livonia Avenue Branch"
,,,,,,,,,,,LIVONIA AVENUE BRANCH,38409419,88889880,80171088,80178088,80816779,80088888,82809808,80888888,80828808,80881288,,,,,4,"Interborough Rapid Transit Company - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Subway Division - White Plains Road Line, Eastern Parkway Line, and Livonia Avenue Branch"
,,,,,,,,,,,Sutter Avenue,4889060,4781198,4467488,4218982,4489189,4801084,4742888,4878182,,4821401,,,,,4,"Interborough Rapid Transit Company - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Subway Division - White Plains Road Line, Eastern Parkway Line, and Livonia Avenue Branch"
,,,,,,,,,,,Saratoga Avenue,4048884,4887804,4800888,3888888,4888888,4888888,4888888,4488888,4402228,4822040,,,,,4,"Interborough Rapid Transit Company - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Subway Division - White Plains Road Line, Eastern Parkway Line, and Livonia Avenue Branch"
,,,,,,,,,,,Rockaway Avenue,3868129,3778118,3882472,3808818,3488882,3466898,3610772,,2231488,2903894,,,,,4,"Interborough Rapid Transit Company - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Subway Division - White Plains Road Line, Eastern Parkway Line, and Livonia Avenue Branch"
,,,,,,,,,,,Junius Street,2931878,2910878,2777383,2838888,2848889,2838888,2838888,2910832,,2687811,,,,,4,"Interborough Rapid Transit Company - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Subway Division - White Plains Road Line, Eastern Parkway Line, and Livonia Avenue Branch"
,,,,,,,,,,,Pennsylvania Avenue,4888888,4888888,4888888,4888888,4888888,4888888,3919848,,,,,,,,4,"Interborough Rapid Transit Company - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Subway Division - White Plains Road Line, Eastern Parkway Line, and Livonia Avenue Branch"
,,,,,,,,,,,Van Siclen Avenue,1783788,1809178,1787279,1709427,1803488,1839489,1888833,1881783,,1667191,,,,,4,"Interborough Rapid Transit Company - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Subway Division - White Plains Road Line, Eastern Parkway Line, and Livonia Avenue Branch"
,,,,,,,,,,,New Lots Avenue,2834920,2348838,2280771,,,,,,,,,,,,4,"Interborough Rapid Transit Company - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Subway Division - White Plains Road Line, Eastern Parkway Line, and Livonia Avenue Branch"
,,,,,,,,,,,NOSTRAND AVENUE BRANCH,17831888,13888883,17160888,18088831,17880897,17714181,18406407,18238048,18848800,18878988,,,,,4,"Interborough Rapid Transit Company - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Subway Division - White Plains Road Line, Eastern Parkway Line, and Livonia Avenue Branch"
,,,,,,,,,,,President Street,,992784,963884,944716,1027480,1048410,1061217,1048888,1088888,980884,,,,,4,"Interborough Rapid Transit Company - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Subway Division - White Plains Road Line, Eastern Parkway Line, and Livonia Avenue Branch"
,,,,,,,,,,,Sterling Street,1488888,1987868,1888978,1888881,,,,,,,,,,,4,"Interborough Rapid Transit Company - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Subway Division - White Plains Road Line, Eastern Parkway Line, and Livonia Avenue Branch"
,,,,,,,,,,,Winthrop Street,1388984,1888879,1888870,1809780,1878281,1707794,1880883,1917884,1928388,1284160,,,,,4,"Interborough Rapid Transit Company - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Subway Division - White Plains Road Line, Eastern Parkway Line, and Livonia Avenue Branch"
,,,,,,,,,,,Church Avenue,4448490,3838888,3217874,3031903,3128888,3183812,3279818,3291197,3189481,4178071,,,,,4,"Interborough Rapid Transit Company - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Subway Division - White Plains Road Line, Eastern Parkway Line, and Livonia Avenue Branch"
,,,,,,,,,,,Beverly Road,2888888,3888883,3283888,3888888,3888888,3888888,2887888,,,,,,,,4,"Interborough Rapid Transit Company - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Subway Division - White Plains Road Line, Eastern Parkway Line, and Livonia Avenue Branch"
,,,,,,,,,,,Newkirk Avenue,3100764,3848784,3288884,3184088,3217888,3234108,2331899,3322488,3277004,,,,,,4,"Interborough Rapid Transit Company - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Subway Division - White Plains Road Line, Eastern Parkway Line, and Livonia Avenue Branch"
,,,,,,,,,,,Flatbush Avenue,8823887,8947988,8888808,8392888,8800881,8888878,9981232,8791488,8483918,8824778,,,,,4,"Interborough Rapid Transit Company - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Subway Division - White Plains Road Line, Eastern Parkway Line, and Livonia Avenue Branch"
,,,,,,,,,,,Miscellaneous ticket sales,3478,1941,1887,2841,2788,1900,188261,800882,178880,123787,,,,,4,"Interborough Rapid Transit Company - Fares Collected by Stations, Fiscal Years Ended June 30 1930 to 1939, Subway Division - White Plains Road Line, Eastern Parkway Line, and Livonia Avenue Branch"
,,,,,,,,,,,QUEENSBORO SUBWAY-NET TOTAL,83728184,84077375,85128068,80886751,48488868,47897840,48855889,49007038,44945940,47424891,,,,,5,"Fares Collected by Stations - Fiscal Years Ended June 30, 1930 to 1939 - Subway Division - Contract 3 Stations Concluded (Queensboro Subway and Astoria/Flushing Branches)"
,,,,,,,,,,,"DR. ADJUSTMENT OF JOINT TRAFFIC, 2ND AVE. EL",10946183,10995235,10338322,9348768,9064185,8736418,8064962,8878641,8542129,10966690,,,,,5,"Fares Collected by Stations - Fiscal Years Ended June 30, 1930 to 1939 - Subway Division - Contract 3 Stations Concluded (Queensboro Subway and Astoria/Flushing Branches)"
,,,,,,,,,,,QUEENSBORO SUBWAY-GROSS TOTAL,84782677,85078010,85461860,89676519,41244822,41470147,16044808,18542918,15482417,11285490,,,,,5,"Fares Collected by Stations - Fiscal Years Ended June 30, 1930 to 1939 - Subway Division - Contract 3 Stations Concluded (Queensboro Subway and Astoria/Flushing Branches)"
,,,,,,,,,,,MAIN LINE,18060044,18545810,17850455,16014880,11491781,,8542818,8815278,8469549,1451466,,,,,5,"Fares Collected by Stations - Fiscal Years Ended June 30, 1930 to 1939 - Subway Division - Contract 3 Stations Concluded (Queensboro Subway and Astoria/Flushing Branches)"
,,,,,,,,,,,Fifth Avenue,4171598,4190970,4025025,3910451,1225180,1428167,1280551,1504825,1181210,2025126,,,,,5,"Fares Collected by Stations - Fiscal Years Ended June 30, 1930 to 1939 - Subway Division - Contract 3 Stations Concluded (Queensboro Subway and Astoria/Flushing Branches)"
,,,,,,,,,,,Grand Central (Lex. Ave.) (a),6328547,5948717,5474920,4917806,1120715,1148239,1292980,1274668,1971486,1915711,,,,,5,"Fares Collected by Stations - Fiscal Years Ended June 30, 1930 to 1939 - Subway Division - Contract 3 Stations Concluded (Queensboro Subway and Astoria/Flushing Branches)"
,,,,,,,,,,,Queens Plaza,1338527,2404400,2340290,3165184,2063810,2007435,2656627,3560450,2587649,2721186,,,,,5,"Fares Collected by Stations - Fiscal Years Ended June 30, 1930 to 1939 - Subway Division - Contract 3 Stations Concluded (Queensboro Subway and Astoria/Flushing Branches)"
,,,,,,,,,,,49th Ave. (Hunters Point Ave.),1552651,2340290,2165184,2065810,2499760,2451562,,,,,,,,,5,"Fares Collected by Stations - Fiscal Years Ended June 30, 1930 to 1939 - Subway Division - Contract 3 Stations Concluded (Queensboro Subway and Astoria/Flushing Branches)"
,,,,,,,,,,,"45th Rd., Court House Sq.",3632877,2436192,2178676,,,,13019740,15618897,223846,677894,,,,,5,"Fares Collected by Stations - Fiscal Years Ended June 30, 1930 to 1939 - Subway Division - Contract 3 Stations Concluded (Queensboro Subway and Astoria/Flushing Branches)"
,,,,,,,,,,,Queensboro Plaza,16734658,16404290,16299948,14492658,18825856,18427028,,,,,,,,,5,"Fares Collected by Stations - Fiscal Years Ended June 30, 1930 to 1939 - Subway Division - Contract 3 Stations Concluded (Queensboro Subway and Astoria/Flushing Branches)"
,,,,,,,,,,,ASTORIA BRANCH (b),,793144,714160,465128,600477,1516862,1481159,1510956,1451069,1488068,,,,,5,"Fares Collected by Stations - Fiscal Years Ended June 30, 1930 to 1939 - Subway Division - Contract 3 Stations Concluded (Queensboro Subway and Astoria/Flushing Branches)"
,,,,,,,,,,,35th Ave. (Beebe Ave.),1877269,1688684,1784148,3172547,2864633,2750768,2718747,2507788,2635378,2771840,,,,,5,"Fares Collected by Stations - Fiscal Years Ended June 30, 1930 to 1939 - Subway Division - Contract 3 Stations Concluded (Queensboro Subway and Astoria/Flushing Branches)"
,,,,,,,,,,,36th Avenue (Washington Ave.),3453328,3590497,3500935,3205729,2100795,2070614,1754243,2509817,1777234,1776725,,,,,5,"Fares Collected by Stations - Fiscal Years Ended June 30, 1930 to 1939 - Subway Division - Contract 3 Stations Concluded (Queensboro Subway and Astoria/Flushing Branches)"
,,,,,,,,,,,"Broadway, Astoria",3550058,3599897,3362557,3205729,2100795,1895556,1856622,1823714,1777234,1776725,,,,,5,"Fares Collected by Stations - Fiscal Years Ended June 30, 1930 to 1939 - Subway Division - Contract 3 Stations Concluded (Queensboro Subway and Astoria/Flushing Branches)"
,,,,,,,,,,,30th Avenue (Grand Ave.),2669514,2659817,2402458,3435634,2653215,2699718,2007540,,,,,,,,5,"Fares Collected by Stations - Fiscal Years Ended June 30, 1930 to 1939 - Subway Division - Contract 3 Stations Concluded (Queensboro Subway and Astoria/Flushing Branches)"
,,,,,,,,,,,Ditmars Blvd.,25807187,30191825,29895444,29015401,26242821,26488087,1191095,1143458,961573,906548,,,,,5,"Fares Collected by Stations - Fiscal Years Ended June 30, 1930 to 1939 - Subway Division - Contract 3 Stations Concluded (Queensboro Subway and Astoria/Flushing Branches)"
,,,,,,,,,,,FLUSHING BRANCH (b),1518483,1270548,1171098,1708758,1708400,1722855,1688772,1688772,,,,,,,5,"Fares Collected by Stations - Fiscal Years Ended June 30, 1930 to 1939 - Subway Division - Contract 3 Stations Concluded (Queensboro Subway and Astoria/Flushing Branches)"
,,,,,,,,,,,33d St. (Rawson St.),1409341,1610548,2070213,4904277,3346438,3414491,3224866,3150840,2941955,2919463,,,,,5,"Fares Collected by Stations - Fiscal Years Ended June 30, 1930 to 1939 - Subway Division - Contract 3 Stations Concluded (Queensboro Subway and Astoria/Flushing Branches)"
,,,,,,,,,,,40th St. (Lowery St.),3555371,3551644,3612218,4504277,3346438,3115073,1155683,1155900,1095825,1091040,,,,,5,"Fares Collected by Stations - Fiscal Years Ended June 30, 1930 to 1939 - Subway Division - Contract 3 Stations Concluded (Queensboro Subway and Astoria/Flushing Branches)"
,,,,,,,,,,,46th St. (Bliss St.),1188423,1224978,1482824,1305077,1244384,,2698233,,163469,1102149,,,,,5,"Fares Collected by Stations - Fiscal Years Ended June 30, 1930 to 1939 - Subway Division - Contract 3 Stations Concluded (Queensboro Subway and Astoria/Flushing Branches)"
,,,,,,,,,,,52d St. (Lincoln Ave.),3683978,3858309,3970108,7762258,2809371,775993,774885,724025,684463,656106,,,,,5,"Fares Collected by Stations - Fiscal Years Ended June 30, 1930 to 1939 - Subway Division - Contract 3 Stations Concluded (Queensboro Subway and Astoria/Flushing Branches)"
,,,,,,,,,,,"61st St., Woodside",1218841,1342812,1113281,1053601,1103514,1154237,1254419,1245118,1254158,1117533,,,,,5,"Fares Collected by Stations - Fiscal Years Ended June 30, 1930 to 1939 - Subway Division - Contract 3 Stations Concluded (Queensboro Subway and Astoria/Flushing Branches)"
,,,,,,,,,,,69th St. (Fisk Ave.),1856924,1864259,2322331,3108900,4422037,2316197,2518643,1318663,3025417,1614805,,,,,5,"Fares Collected by Stations - Fiscal Years Ended June 30, 1930 to 1939 - Subway Division - Contract 3 Stations Concluded (Queensboro Subway and Astoria/Flushing Branches)"
,,,,,,,,,,,"74th St., Broadway",3518472,3711444,3669972,2686443,2172480,2488488,4009714,1490462,1688112,2595958,,,,,5,"Fares Collected by Stations - Fiscal Years Ended June 30, 1930 to 1939 - Subway Division - Contract 3 Stations Concluded (Queensboro Subway and Astoria/Flushing Branches)"
,,,,,,,,,,,"82d St., Jack. Hts. (25th St.)",1910772,2044846,2111082,2115816,2341887,2187985,2172254,2072843,2044930,2351640,,,,,5,"Fares Collected by Stations - Fiscal Years Ended June 30, 1930 to 1939 - Subway Division - Contract 3 Stations Concluded (Queensboro Subway and Astoria/Flushing Branches)"
,,,,,,,,,,,"90th St., Elmhurst Ave.",3990568,3965492,3706888,3708819,3649825,2565130,3109716,3459878,3469595,1245748,,,,,5,"Fares Collected by Stations - Fiscal Years Ended June 30, 1930 to 1939 - Subway Division - Contract 3 Stations Concluded (Queensboro Subway and Astoria/Flushing Branches)"
,,,,,,,,,,,Junction Blvd.,2230963,3139872,2919462,2703519,,720431,870546,839804,993579,1245748,,,,,5,"Fares Collected by Stations - Fiscal Years Ended June 30, 1930 to 1939 - Subway Division - Contract 3 Stations Concluded (Queensboro Subway and Astoria/Flushing Branches)"
,,,,,,,,,,,104th St. (Alburtis Ave.),784401,751727,743275,715854,84000,128818,144477,161719,213402,6548709,,,,,5,"Fares Collected by Stations - Fiscal Years Ended June 30, 1930 to 1939 - Subway Division - Contract 3 Stations Concluded (Queensboro Subway and Astoria/Flushing Branches)"
,,,,,,,,,,,111th Street,,,84014,,,6585462,7351662,6833744,6900836,,,,,,5,"Fares Collected by Stations - Fiscal Years Ended June 30, 1930 to 1939 - Subway Division - Contract 3 Stations Concluded (Queensboro Subway and Astoria/Flushing Branches)"
,,,,,,,,,,,Willets Point Blvd.,4797785,5218208,5892506,5917533,6365401,,830790,864789,317869,199223,,,,,5,"Fares Collected by Stations - Fiscal Years Ended June 30, 1930 to 1939 - Subway Division - Contract 3 Stations Concluded (Queensboro Subway and Astoria/Flushing Branches)"
,,,,,,,,,,,"Main St., Flushing",,16925,16379,19895,11963,13000,,,,,,,,,5,"Fares Collected by Stations - Fiscal Years Ended June 30, 1930 to 1939 - Subway Division - Contract 3 Stations Concluded (Queensboro Subway and Astoria/Flushing Branches)"
,,,,,,,,,,,"N.Y. Rapid Transit Corp's Tickets, Cr.",17868,,,,,,,,,,,,,,5,"Fares Collected by Stations - Fiscal Years Ended June 30, 1930 to 1939 - Subway Division - Contract 3 Stations Concluded (Queensboro Subway and Astoria/Flushing Branches)"
,,,,,,,,,,,Total fare collections (Contract 3),833255969,830927188,805279931,665518896,448802214,442038335,451964729,443450811,424099159,423863043,,,,,5,"Fares Collected by Stations - Fiscal Years Ended June 30, 1930 to 1939 - Subway Division - Contract 3 Stations Concluded (Queensboro Subway and Astoria/Flushing Branches)"
,,,,,,,,,,,"Total, Subway Division",986672286,973802920,919459670,836505203,810206328,800749169,814217041,799647996,764180529,756851758,,,,,5,"Fares Collected by Stations - Fiscal Years Ended June 30, 1930 to 1939 - Subway Division - Contract 3 Stations Concluded (Queensboro Subway and Astoria/Flushing Branches)"
,,,,,,,,,,,SECOND AVENUE LINE - GROSS TOTAL (a),83214480,86938848,81768867,48138294,40827488,38049775,40178816,39845118,37886918,27903083,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1930 to 1939 - Elevated Division - Second Avenue Line and Third Avenue Line"
,,,,,,,,,,,"CR. ADJUSTMENT OF JOINT TRAFFIC, QUEENSBORO SUB.",10946183,10995235,10338322,9348768,9064185,8736418,8064962,8878641,8542129,10242009,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1930 to 1939 - Elevated Division - Second Avenue Line and Third Avenue Line"
,,,,,,,,,,,SECOND AVENUE LINE-NET,47268297,45941613,41422335,38789886,31883847,30823358,,80356477,25712729,27071019,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1930 to 1939 - Elevated Division - Second Avenue Line and Third Avenue Line"
,,,,,,,,,,,Chatham Square,1724953,1605582,1502489,1372647,1333124,1137229,1031653,945554,760475,658382,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1930 to 1939 - Elevated Division - Second Avenue Line and Third Avenue Line"
,,,,,,,,,,,Canal Street,1734983,1605582,1502489,1372647,1333124,1137229,1031653,945554,760475,718533,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1930 to 1939 - Elevated Division - Second Avenue Line and Third Avenue Line"
,,,,,,,,,,,Grand Street,1605641,1455467,1286247,1168119,1009698,989199,934281,816055,758972,658382,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1930 to 1939 - Elevated Division - Second Avenue Line and Third Avenue Line"
,,,,,,,,,,,Rivington Street,1905598,1836461,1699859,1599844,1551847,1278943,1154848,1073148,1132701,1087917,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1930 to 1939 - Elevated Division - Second Avenue Line and Third Avenue Line"
,,,,,,,,,,,1st Street,2104329,1935819,1740868,1601661,1845611,1378581,1819277,1137083,1050437,1087917,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1930 to 1939 - Elevated Division - Second Avenue Line and Third Avenue Line"
,,,,,,,,,,,8th Street,2655191,2696502,2426558,2180900,1823918,1676100,1590980,,2794720,2695065,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1930 to 1939 - Elevated Division - Second Avenue Line and Third Avenue Line"
,,,,,,,,,,,14th Street,4518017,4566117,4244759,3846987,3605403,3306994,3070648,3955657,,,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1930 to 1939 - Elevated Division - Second Avenue Line and Third Avenue Line"
,,,,,,,,,,,19th Street,1205032,1135000,1037837,911150,765998,685072,860164,672053,661124,637571,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1930 to 1939 - Elevated Division - Second Avenue Line and Third Avenue Line"
,,,,,,,,,,,23rd Street,1814627,1838666,1655637,1498780,1402563,1228460,1253702,1400835,1187833,1154897,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1930 to 1939 - Elevated Division - Second Avenue Line and Third Avenue Line"
,,,,,,,,,,,34th Street,3455400,3264330,3026189,2748357,2496651,2305310,2283703,1940985,1187853,1154897,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1930 to 1939 - Elevated Division - Second Avenue Line and Third Avenue Line"
,,,,,,,,,,,42d Street,3124822,3151894,2851740,3674096,2274887,2295221,3390770,4320803,3509828,3148599,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1930 to 1939 - Elevated Division - Second Avenue Line and Third Avenue Line"
,,,,,,,,,,,50th Street,1800835,1440908,1278034,1170418,1814486,1489731,1508861,1442283,1350928,1343386,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1930 to 1939 - Elevated Division - Second Avenue Line and Third Avenue Line"
,,,,,,,,,,,57th Street,1300368,1455811,1698982,1299820,,,,,,,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1930 to 1939 - Elevated Division - Second Avenue Line and Third Avenue Line"
,,,,,,,,,,,65th Street,1416183,1557604,1198345,1124535,944099,927295,975347,957249,919858,918464,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1930 to 1939 - Elevated Division - Second Avenue Line and Third Avenue Line"
,,,,,,,,,,,72nd Street,2761157,3552286,3132918,2080418,1423678,1400441,1621653,1621891,1446510,1437261,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1930 to 1939 - Elevated Division - Second Avenue Line and Third Avenue Line"
,,,,,,,,,,,80th Street,2117003,2146992,1970137,1857222,1423678,1445048,1777247,1257795,1332884,1325547,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1930 to 1939 - Elevated Division - Second Avenue Line and Third Avenue Line"
,,,,,,,,,,,86th Street,2188925,2118096,1921038,1599355,1445048,,,,,,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1930 to 1939 - Elevated Division - Second Avenue Line and Third Avenue Line"
,,,,,,,,,,,92nd Street,1123082,1072230,,,,,,,,,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1930 to 1939 - Elevated Division - Second Avenue Line and Third Avenue Line"
,,,,,,,,,,,99th Street,987488,807439,925121,816472,,637950,623919,593654,847544,541892,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1930 to 1939 - Elevated Division - Second Avenue Line and Third Avenue Line"
,,,,,,,,,,,105th Street,963576,925326,827963,784169,626458,614028,630799,658575,617758,617037,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1930 to 1939 - Elevated Division - Second Avenue Line and Third Avenue Line"
,,,,,,,,,,,111th Street,3122996,3004458,,708164,634102,619207,700256,678467,602030,609724,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1930 to 1939 - Elevated Division - Second Avenue Line and Third Avenue Line"
,,,,,,,,,,,116th Street,870623,809453,799104,,,,,,,,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1930 to 1939 - Elevated Division - Second Avenue Line and Third Avenue Line"
,,,,,,,,,,,121st Street,765663,748318,657991,588944,510899,203832,358520,527731,505040,514616,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1930 to 1939 - Elevated Division - Second Avenue Line and Third Avenue Line"
,,,,,,,,,,,125th Street,678340,638830,618548,618548,918548,,,,,,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1930 to 1939 - Elevated Division - Second Avenue Line and Third Avenue Line"
,,,,,,,,,,,Miscellaneous ticket sales,19467,10648,8778,6887,7634,6081,150848,208086,125322,83961,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1930 to 1939 - Elevated Division - Second Avenue Line and Third Avenue Line"
,,,,,,,,,,,Adjustment with Third Ave. El.-Cr. (b),4699110,4430573,3941655,3426273,3120641,3140480,3300884,3339237,2345087,3035808,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1930 to 1939 - Elevated Division - Second Avenue Line and Third Avenue Line"
,,,,,,,,,,,THIRD AVE. LINE-GROSS TOTAL,181804918,188807074,110419838,98388812,85778957,84748448,88778975,85118376,79810210,74993808,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1930 to 1939 - Elevated Division - Second Avenue Line and Third Avenue Line"
,,,,,,,,,,,"CR. ADJUSTMENT OF JOINT TRAFFIC, QUEENSBORO SUB. PLAINS ROAD LINE",8058287,8176633,2988972,2671917,2518537,2578591,2815734,2777327,2962402,3002709,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1930 to 1939 - Elevated Division - Second Avenue Line and Third Avenue Line"
,,,,,,,,,,,THIRD AVENUE LINE-NET,188729265,180830441,107427355,95049884,83459649,82043649,85638459,4781180,4904074,1757483,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1930 to 1939 - Elevated Division - Second Avenue Line and Third Avenue Line"
,,,,,,,,,,,South Ferry (b),3553453,3454590,3195880,2969584,4345649,4345649,,,,,,,,,5,"Interborough Rapid Transit Company - Fares Collected by Stations - Fiscal Years Ended June 30, 1930 to 1939 - Elevated Division - Second Avenue Line and Third Avenue Line"
