Date,Fare,Notes,Segment,Station,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,_page,_page_desc
,,,Broadway/7 Ave.,231 St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1230085,1217769,1168010,1192446,1155870,1079424,1018476,,,,,,,,,,,,,,,10,"Annual Registrations by Station 1940 to 1995 - Years 1975-1981, Page 6"
,,,Broadway/7 Ave.,225 St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,784835,768604,769112,809737,855817,824343,787330,,,,,,,,,,,,,,,10,"Annual Registrations by Station 1940 to 1995 - Years 1975-1981, Page 6"
,,,Broadway/7 Ave.,215 St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170368,153388,151908,153708,137312,110583,,,,,,,,,,,,,,,,10,"Annual Registrations by Station 1940 to 1995 - Years 1975-1981, Page 6"
,,,Broadway/7 Ave.,207 St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,651738,593775,596647,639879,704482,694751,658468,,,,,,,,,,,,,,,10,"Annual Registrations by Station 1940 to 1995 - Years 1975-1981, Page 6"
,,,Broadway/7 Ave.,Dyckman St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1272852,1204357,1195164,1257890,1343766,1275123,1209929,,,,,,,,,,,,,,,10,"Annual Registrations by Station 1940 to 1995 - Years 1975-1981, Page 6"
,,,Broadway/7 Ave.,191 St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1353831,1314405,1319745,1397423,1418954,1377717,1320729,,,,,,,,,,,,,,,10,"Annual Registrations by Station 1940 to 1995 - Years 1975-1981, Page 6"
,,,Broadway/7 Ave.,181 St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1863258,1711673,1631494,1666651,1707745,1615501,1500391,,,,,,,,,,,,,,,10,"Annual Registrations by Station 1940 to 1995 - Years 1975-1981, Page 6"
,,,Broadway/7 Ave.,157 St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1718547,1630065,1632233,1734922,1814022,1784389,1728772,,,,,,,,,,,,,,,10,"Annual Registrations by Station 1940 to 1995 - Years 1975-1981, Page 6"
,,,Broadway/7 Ave.,145 St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1357463,1271630,1299737,1296161,1328994,1299742,1283244,,,,,,,,,,,,,,,10,"Annual Registrations by Station 1940 to 1995 - Years 1975-1981, Page 6"
,,,Broadway/7 Ave.,137 St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1806448,1705614,1720569,1765892,1842315,1821193,,,,,,,,,,,,,,,,10,"Annual Registrations by Station 1940 to 1995 - Years 1975-1981, Page 6"
,,,Broadway/7 Ave.,125 St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1606613,1486200,1408709,1420407,1458567,1380894,1307008,,,,,,,,,,,,,,,10,"Annual Registrations by Station 1940 to 1995 - Years 1975-1981, Page 6"
,,,Broadway/7 Ave.,116 St./Columbia Univ.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2932156,2773232,2777094,2907658,3045398,2962991,2871802,,,,,,,,,,,,,,,10,"Annual Registrations by Station 1940 to 1995 - Years 1975-1981, Page 6"
,,,Broadway/7 Ave.,Cathedral Pkwy.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3022479,2839625,2764934,2812177,2809940,2600469,2415603,,,,,,,,,,,,,,,10,"Annual Registrations by Station 1940 to 1995 - Years 1975-1981, Page 6"
,,,Broadway/7 Ave.,103 St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6524636,6218791,6234121,6738659,6991799,6815993,6948756,,,,,,,,,,,,,,,10,"Annual Registrations by Station 1940 to 1995 - Years 1975-1981, Page 6"
,,,Broadway/7 Ave.,91 St. (Closed 2/2/59),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,10,"Annual Registrations by Station 1940 to 1995 - Years 1975-1981, Page 6"
,,,Broadway/7 Ave.,86 St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3574027,3456273,3496745,3689880,3745962,3498440,3319558,,,,,,,,,,,,,,,10,"Annual Registrations by Station 1940 to 1995 - Years 1975-1981, Page 6"
,,,Broadway/7 Ave.,79 St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2941908,2815477,2811802,2944287,2993831,2778565,2669046,,,,,,,,,,,,,,,10,"Annual Registrations by Station 1940 to 1995 - Years 1975-1981, Page 6"
,,,Broadway/7 Ave.,72 St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5923229,5702640,5730372,6106818,6321870,6198670,6196370,,,,,,,,,,,,,,,10,"Annual Registrations by Station 1940 to 1995 - Years 1975-1981, Page 6"
,,,Broadway/7 Ave.,66 St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3174560,3099546,3157204,3294026,3156701,2864046,2721265,,,,,,,,,,,,,,,10,"Annual Registrations by Station 1940 to 1995 - Years 1975-1981, Page 6"
,,,Broadway/7 Ave.,Segment Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47986593,45600095,45023323,47317615,48687647,46537175,45333763,,,,,,,,,,,,,,,10,"Annual Registrations by Station 1940 to 1995 - Years 1975-1981, Page 6"
,,,Jerome Ave.,Woodlawn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,972976,1014410,1016392,1030423,1072363,996570,971942,,,,,,,,,,,,,,,10,"Annual Registrations by Station 1940 to 1995 - Years 1975-1981, Page 6"
,,,Jerome Ave.,Mosholu Pkwy.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1155165,1189763,1260008,1403600,1422378,1339274,1311522,,,,,,,,,,,,,,,10,"Annual Registrations by Station 1940 to 1995 - Years 1975-1981, Page 6"
,,,Jerome Ave.,Bedford Park Blvd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,493746,462761,466735,491878,503488,495414,503850,,,,,,,,,,,,,,,10,"Annual Registrations by Station 1940 to 1995 - Years 1975-1981, Page 6"
,,,Jerome Ave.,Kingsbridge Rd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1435387,1441405,1468400,1547648,1541841,1513010,1530264,,,,,,,,,,,,,,,10,"Annual Registrations by Station 1940 to 1995 - Years 1975-1981, Page 6"
,,,Jerome Ave.,Fordham Rd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1729916,1714866,1740106,1869385,1897883,1835705,1862355,,,,,,,,,,,,,,,10,"Annual Registrations by Station 1940 to 1995 - Years 1975-1981, Page 6"
,,,Jerome Ave.,183 St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1109157,1130558,1134271,1165011,1196751,1080714,998105,,,,,,,,,,,,,,,10,"Annual Registrations by Station 1940 to 1995 - Years 1975-1981, Page 6"
,,,Jerome Ave.,Burnside Ave.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2705802,2450754,2381963,2396930,2450754,,,,,,,,,,,,,,,,,10,"Annual Registrations by Station 1940 to 1995 - Years 1975-1981, Page 6"
,,,Jerome Ave.,176 St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1366611,1338064,1163403,1048663,993552,808257,725204,,,,,,,,,,,,,,,10,"Annual Registrations by Station 1940 to 1995 - Years 1975-1981, Page 6"
,,,Jerome Ave.,Mt. Eden Ave.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1278827,1213846,1116405,1062570,1034190,908596,822828,,,,,,,,,,,,,,,10,"Annual Registrations by Station 1940 to 1995 - Years 1975-1981, Page 6"
,,,Jerome Ave.,167 St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2207530,2112222,2005886,2078056,1807205,1845801,1591398,,,,,,,,,,,,,,,10,"Annual Registrations by Station 1940 to 1995 - Years 1975-1981, Page 6"
,,,Jerome Ave.,161 St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1993961,1957695,1922360,1952360,1550066,1377969,1308655,,,,,,,,,,,,,,,10,"Annual Registrations by Station 1940 to 1995 - Years 1975-1981, Page 6"
,,,Jerome Ave.,Segment Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16489230,15831618,15088496,15206184,15093537,13687874,12896239,,,,,,,,,,,,,,,10,"Annual Registrations by Station 1940 to 1995 - Years 1975-1981, Page 6"
,,,Burnside Ave. Closed 8/31/58,Anderson Ave./Jerome Ave.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,10,"Annual Registrations by Station 1940 to 1995 - Years 1975-1981, Page 6"
,,,Burnside Ave. Closed 8/31/58,Sedgwick Ave.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,10,"Annual Registrations by Station 1940 to 1995 - Years 1975-1981, Page 6"
,,,Burnside Ave. Closed 8/31/58,155 St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,10,"Annual Registrations by Station 1940 to 1995 - Years 1975-1981, Page 6"
,,,Burnside Ave. Closed 8/31/58,Segment Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,10,"Annual Registrations by Station 1940 to 1995 - Years 1975-1981, Page 6"
,,,8 Ave.,207 St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2090867,2157454,2069095,2034220,1963222,1775149,1748618,,,,,,,,11,"Annual Registrations by Station 1982-1988, Pages 7-8, covering 8 Ave, Concourse, Broadway/7 Ave, Jerome Ave, and Burnside Ave lines"
,,,8 Ave.,Dyckman St./200 St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1694353,1752035,1643605,1631268,1610065,1534118,1550069,,,,,,,,11,"Annual Registrations by Station 1982-1988, Pages 7-8, covering 8 Ave, Concourse, Broadway/7 Ave, Jerome Ave, and Burnside Ave lines"
,,,8 Ave.,190 St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,918393,925318,891397,898087,912435,860972,864948,,,,,,,,11,"Annual Registrations by Station 1982-1988, Pages 7-8, covering 8 Ave, Concourse, Broadway/7 Ave, Jerome Ave, and Burnside Ave lines"
,,,8 Ave.,181 St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2099896,2141788,2135658,2126857,2135835,2051656,2051345,,,,,,,,11,"Annual Registrations by Station 1982-1988, Pages 7-8, covering 8 Ave, Concourse, Broadway/7 Ave, Jerome Ave, and Burnside Ave lines"
,,,8 Ave.,175 St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3736701,3802326,3582584,3477916,3335033,3283125,3193060,,,,,,,,11,"Annual Registrations by Station 1982-1988, Pages 7-8, covering 8 Ave, Concourse, Broadway/7 Ave, Jerome Ave, and Burnside Ave lines"
,,,8 Ave.,168 St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,892939,883358,844813,778984,730798,705916,627797,,,,,,,,11,"Annual Registrations by Station 1982-1988, Pages 7-8, covering 8 Ave, Concourse, Broadway/7 Ave, Jerome Ave, and Burnside Ave lines"
,,,8 Ave.,155 St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,511278,496837,460759,430055,407359,407702,387180,,,,,,,,11,"Annual Registrations by Station 1982-1988, Pages 7-8, covering 8 Ave, Concourse, Broadway/7 Ave, Jerome Ave, and Burnside Ave lines"
,,,8 Ave.,145 St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3807738,3995255,3892812,3869877,3771005,3631828,3631058,,,,,,,,11,"Annual Registrations by Station 1982-1988, Pages 7-8, covering 8 Ave, Concourse, Broadway/7 Ave, Jerome Ave, and Burnside Ave lines"
,,,8 Ave.,135 St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600554,553488,492558,455260,452556,429676,402170,,,,,,,,11,"Annual Registrations by Station 1982-1988, Pages 7-8, covering 8 Ave, Concourse, Broadway/7 Ave, Jerome Ave, and Burnside Ave lines"
,,,8 Ave.,125 St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3928184,3865484,3571538,3449764,3291030,3290387,3250033,,,,,,,,11,"Annual Registrations by Station 1982-1988, Pages 7-8, covering 8 Ave, Concourse, Broadway/7 Ave, Jerome Ave, and Burnside Ave lines"
,,,8 Ave.,116 St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,661175,613445,515375,472946,409224,385399,375399,,,,,,,,11,"Annual Registrations by Station 1982-1988, Pages 7-8, covering 8 Ave, Concourse, Broadway/7 Ave, Jerome Ave, and Burnside Ave lines"
,,,8 Ave.,Cathedral Pkwy.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,633697,653671,633277,633855,592482,604658,644165,,,,,,,,11,"Annual Registrations by Station 1982-1988, Pages 7-8, covering 8 Ave, Concourse, Broadway/7 Ave, Jerome Ave, and Burnside Ave lines"
,,,8 Ave.,103 St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,716475,722717,711842,700066,698516,706183,669564,,,,,,,,11,"Annual Registrations by Station 1982-1988, Pages 7-8, covering 8 Ave, Concourse, Broadway/7 Ave, Jerome Ave, and Burnside Ave lines"
,,,8 Ave.,96 St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1352207,1299288,1214557,1152191,1068131,1021324,1000157,,,,,,,,11,"Annual Registrations by Station 1982-1988, Pages 7-8, covering 8 Ave, Concourse, Broadway/7 Ave, Jerome Ave, and Burnside Ave lines"
,,,8 Ave.,86 St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1489597,1434232,1341113,1256462,1256032,1218042,1209426,,,,,,,,11,"Annual Registrations by Station 1982-1988, Pages 7-8, covering 8 Ave, Concourse, Broadway/7 Ave, Jerome Ave, and Burnside Ave lines"
,,,8 Ave.,81 St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1496175,1489544,1437336,1357710,1327240,1297358,1307008,,,,,,,,11,"Annual Registrations by Station 1982-1988, Pages 7-8, covering 8 Ave, Concourse, Broadway/7 Ave, Jerome Ave, and Burnside Ave lines"
,,,8 Ave.,72 St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1140859,1120108,1048997,985573,895468,835262,846303,,,,,,,,11,"Annual Registrations by Station 1982-1988, Pages 7-8, covering 8 Ave, Concourse, Broadway/7 Ave, Jerome Ave, and Burnside Ave lines"
,,,8 Ave.,Segment Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27791088,27906368,26487346,25693699,24854495,24156757,23818314,,,,,,,,11,"Annual Registrations by Station 1982-1988, Pages 7-8, covering 8 Ave, Concourse, Broadway/7 Ave, Jerome Ave, and Burnside Ave lines"
,,,Concourse,205 St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2230024,2290234,2190446,2091996,1981981,1847961,1711396,,,,,,,,11,"Annual Registrations by Station 1982-1988, Pages 7-8, covering 8 Ave, Concourse, Broadway/7 Ave, Jerome Ave, and Burnside Ave lines"
,,,Concourse,Bedford Park Blvd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1604473,1664406,1501456,1345060,1259016,1165420,1108520,,,,,,,,11,"Annual Registrations by Station 1982-1988, Pages 7-8, covering 8 Ave, Concourse, Broadway/7 Ave, Jerome Ave, and Burnside Ave lines"
,,,Concourse,Kingsbridge Rd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1885494,1980144,1781158,1868076,1788383,1705777,1639132,,,,,,,,11,"Annual Registrations by Station 1982-1988, Pages 7-8, covering 8 Ave, Concourse, Broadway/7 Ave, Jerome Ave, and Burnside Ave lines"
,,,Concourse,Fordham Rd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2624585,2712133,2791787,2543885,2475109,2364214,2319894,,,,,,,,11,"Annual Registrations by Station 1982-1988, Pages 7-8, covering 8 Ave, Concourse, Broadway/7 Ave, Jerome Ave, and Burnside Ave lines"
,,,Concourse,182-183 Sts.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1151623,1175748,1177166,1141473,1096927,1088841,1092360,,,,,,,,11,"Annual Registrations by Station 1982-1988, Pages 7-8, covering 8 Ave, Concourse, Broadway/7 Ave, Jerome Ave, and Burnside Ave lines"
,,,Concourse,Tremont Ave.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1876126,1048997,1939570,1856097,1782820,1733909,1672611,,,,,,,,11,"Annual Registrations by Station 1982-1988, Pages 7-8, covering 8 Ave, Concourse, Broadway/7 Ave, Jerome Ave, and Burnside Ave lines"
,,,Concourse,174-175 Sts.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1037864,1036471,1042501,1007498,976153,951234,957930,,,,,,,,11,"Annual Registrations by Station 1982-1988, Pages 7-8, covering 8 Ave, Concourse, Broadway/7 Ave, Jerome Ave, and Burnside Ave lines"
,,,Concourse,170 St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1236831,1251837,1207747,1176802,1147272,1123874,1130849,,,,,,,,11,"Annual Registrations by Station 1982-1988, Pages 7-8, covering 8 Ave, Concourse, Broadway/7 Ave, Jerome Ave, and Burnside Ave lines"
,,,Concourse,167 St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1655126,1680298,1682368,1636185,1594408,1587511,1628030,,,,,,,,11,"Annual Registrations by Station 1982-1988, Pages 7-8, covering 8 Ave, Concourse, Broadway/7 Ave, Jerome Ave, and Burnside Ave lines"
,,,Concourse,155 St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,875974,856432,738824,687066,736445,765359,749060,,,,,,,,11,"Annual Registrations by Station 1982-1988, Pages 7-8, covering 8 Ave, Concourse, Broadway/7 Ave, Jerome Ave, and Burnside Ave lines"
,,,Concourse,Segment Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16178120,16596700,16047023,15335038,14830414,14334200,14009782,,,,,,,,11,"Annual Registrations by Station 1982-1988, Pages 7-8, covering 8 Ave, Concourse, Broadway/7 Ave, Jerome Ave, and Burnside Ave lines"
,,,Broadway/7 Ave.,242 St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,912149,1032744,1000503,1003371,1082068,1157146,1179502,,,,,,,,11,"Annual Registrations by Station 1982-1988, Pages 7-8, covering 8 Ave, Concourse, Broadway/7 Ave, Jerome Ave, and Burnside Ave lines"
,,,Broadway/7 Ave.,238 St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,550113,572923,561383,557721,592329,631753,667212,,,,,,,,11,"Annual Registrations by Station 1982-1988, Pages 7-8, covering 8 Ave, Concourse, Broadway/7 Ave, Jerome Ave, and Burnside Ave lines"
,,,Broadway/7 Ave.,231 St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,986789,1058881,1072640,1086600,1153891,1240258,1335717,,,,,,,,11,"Annual Registrations by Station 1982-1988, Pages 7-8, covering 8 Ave, Concourse, Broadway/7 Ave, Jerome Ave, and Burnside Ave lines"
,,,Broadway/7 Ave.,225 St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,737587,794442,810568,783185,792540,890407,912421,,,,,,,,11,"Annual Registrations by Station 1982-1988, Pages 7-8, covering 8 Ave, Concourse, Broadway/7 Ave, Jerome Ave, and Burnside Ave lines"
,,,Broadway/7 Ave.,215 St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151229,161568,177124,167605,210090,247290,265767,,,,,,,,11,"Annual Registrations by Station 1982-1988, Pages 7-8, covering 8 Ave, Concourse, Broadway/7 Ave, Jerome Ave, and Burnside Ave lines"
,,,Broadway/7 Ave.,207 St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,615855,649942,630082,614901,695690,775905,778610,,,,,,,,11,"Annual Registrations by Station 1982-1988, Pages 7-8, covering 8 Ave, Concourse, Broadway/7 Ave, Jerome Ave, and Burnside Ave lines"
,,,Broadway/7 Ave.,Dyckman St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1161880,1244122,1311015,1300566,1358841,1545876,1632851,,,,,,,,11,"Annual Registrations by Station 1982-1988, Pages 7-8, covering 8 Ave, Concourse, Broadway/7 Ave, Jerome Ave, and Burnside Ave lines"
,,,Broadway/7 Ave.,191 St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1262119,1312610,1286793,1295997,1259342,1367957,1297276,,,,,,,,11,"Annual Registrations by Station 1982-1988, Pages 7-8, covering 8 Ave, Concourse, Broadway/7 Ave, Jerome Ave, and Burnside Ave lines"
,,,Broadway/7 Ave.,181 St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1420977,1445218,1384300,1350213,1424950,1559079,1640577,,,,,,,,11,"Annual Registrations by Station 1982-1988, Pages 7-8, covering 8 Ave, Concourse, Broadway/7 Ave, Jerome Ave, and Burnside Ave lines"
,,,Broadway/7 Ave.,157 St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1635248,1739289,1808435,1818439,1889514,2100051,2180654,,,,,,,,11,"Annual Registrations by Station 1982-1988, Pages 7-8, covering 8 Ave, Concourse, Broadway/7 Ave, Jerome Ave, and Burnside Ave lines"
,,,Broadway/7 Ave.,145 St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200701,1300197,1322595,1383933,1495135,1582236,1631346,,,,,,,,11,"Annual Registrations by Station 1982-1988, Pages 7-8, covering 8 Ave, Concourse, Broadway/7 Ave, Jerome Ave, and Burnside Ave lines"
,,,Broadway/7 Ave.,137 St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2601862,2743291,2765230,2796505,3020530,3143453,3297023,,,,,,,,11,"Annual Registrations by Station 1982-1988, Pages 7-8, covering 8 Ave, Concourse, Broadway/7 Ave, Jerome Ave, and Burnside Ave lines"
,,,Broadway/7 Ave.,125 St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1166339,1246648,1188868,1144669,1391879,1391103,1421194,,,,,,,,11,"Annual Registrations by Station 1982-1988, Pages 7-8, covering 8 Ave, Concourse, Broadway/7 Ave, Jerome Ave, and Burnside Ave lines"
,,,Broadway/7 Ave.,116 St./Columbia Univ.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2732547,2771603,2755820,2714650,2852536,3048258,3200404,,,,,,,,11,"Annual Registrations by Station 1982-1988, Pages 7-8, covering 8 Ave, Concourse, Broadway/7 Ave, Jerome Ave, and Burnside Ave lines"
,,,Broadway/7 Ave.,Cathedral Pkwy.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2704938,2759710,2760158,2686069,2908164,3046508,3237337,,,,,,,,11,"Annual Registrations by Station 1982-1988, Pages 7-8, covering 8 Ave, Concourse, Broadway/7 Ave, Jerome Ave, and Burnside Ave lines"
,,,Broadway/7 Ave.,103 St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2311939,2447411,2415268,2347903,2535515,2617560,2848629,,,,,,,,11,"Annual Registrations by Station 1982-1988, Pages 7-8, covering 8 Ave, Concourse, Broadway/7 Ave, Jerome Ave, and Burnside Ave lines"
,,,Broadway/7 Ave.,96 St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6804273,7156634,7182869,7392052,7602775,8053172,8330881,,,,,,,,11,"Annual Registrations by Station 1982-1988, Pages 7-8, covering 8 Ave, Concourse, Broadway/7 Ave, Jerome Ave, and Burnside Ave lines"
,,,Broadway/7 Ave.,91 St. (Closed 2/2/59),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,11,"Annual Registrations by Station 1982-1988, Pages 7-8, covering 8 Ave, Concourse, Broadway/7 Ave, Jerome Ave, and Burnside Ave lines"
,,,Broadway/7 Ave.,86 St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3106626,3193498,3173135,3253005,3560185,4023050,4250956,,,,,,,,11,"Annual Registrations by Station 1982-1988, Pages 7-8, covering 8 Ave, Concourse, Broadway/7 Ave, Jerome Ave, and Burnside Ave lines"
,,,Broadway/7 Ave.,79 St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2522302,2712163,2737654,2763757,3107005,3444088,3587501,,,,,,,,11,"Annual Registrations by Station 1982-1988, Pages 7-8, covering 8 Ave, Concourse, Broadway/7 Ave, Jerome Ave, and Burnside Ave lines"
,,,Broadway/7 Ave.,72 St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6174191,6325439,6501156,6657350,7091977,7588887,7900270,,,,,,,,11,"Annual Registrations by Station 1982-1988, Pages 7-8, covering 8 Ave, Concourse, Broadway/7 Ave, Jerome Ave, and Burnside Ave lines"
,,,Broadway/7 Ave.,66 St.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2464673,2513941,2537160,2604259,2849574,3248199,3624418,,,,,,,,11,"Annual Registrations by Station 1982-1988, Pages 7-8, covering 8 Ave, Concourse, Broadway/7 Ave, Jerome Ave, and Burnside Ave lines"
,,,Broadway/7 Ave.,Segment Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43244337,45182372,45381381,45672703,48774530,52811894,55220546,,,,,,,,11,"Annual Registrations by Station 1982-1988, Pages 7-8, covering 8 Ave, Concourse, Broadway/7 Ave, Jerome Ave, and Burnside Ave lines"
,,,Jerome Ave.,Woodlawn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,912595,1047942,972360,1101528,1182786,1229245,1234689,,,,,,,,11,"Annual Registrations by Station 1982-1988, Pages 7-8, covering 8 Ave, Concourse, Broadway/7 Ave, Jerome Ave, and Burnside Ave lines"
,,,Jerome Ave.,Mosholu Pkwy.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,233796,1261942,1299051,1460137,1378543,1702677,1683716,,,,,,,,11,"Annual Registrations by Station 1982-1988, Pages 7-8, covering 8 Ave, Concourse, Broadway/7 Ave, Jerome Ave, and Burnside Ave lines"
